clause_id,clause_text,category_produk,asp_kualitas_produk,asp_kesesuaian_deskripsi,asp_harga_value,asp_ukuran_varian,asp_rasa_kualitas_makanan,asp_kemasan,asp_pengiriman,asp_pelayanan_penjual,asp_kelengkapan,asp_keaslian,asp_kemudahan_penggunaan,sentimen,catatan_pelabel
r000494_c0,emang rasanya kaya basi apa gimana,food_beverage,,,,,,,,,,,,,
r018239_c1,pengiriman cepat,fashion,,,,,,,,,,,,,
r013614_c0,baranh sudah sampai hanya packing kurang aman,electronics,,,,,,,,,,,,,
r006956_c1,harga kompetitif,fashion,,,,,,,,,,,,,
fresh_70a7dbd381,fit di badan,fashion,,,,,,,,,,,,,
fresh_a8a1169e77,pesan uk l malah kecil banget,fashion,,,,,,,,,,,,,
r034224_c0,barang tlh kmi terima dengan baik n cepat,other,,,,,,,,,,,,,
r029079_c2,trims,electronics,,,,,,,,,,,,,
fresh_ed7ffbd21a,bahan:halus lembut nyaman desain:bagus menarik tekstur:halus alhamdulillah baju saya sudah sampai dengan selamat dan amann,fashion,,,,,,,,,,,,,
fresh_7d3d7edd01,kenyamanan:nyaman dipakai bahan:bahan bagus desain:desain cukup rapi saya tidak tau kenapa mungkin ada kesalahan,fashion,,,,,,,,,,,,,
r003227_c0,fitur kurang memuaskan hanya sedikit seperti band yang sebelumnya belum layar sentuh full tidak sesuai dengan harga,electronics,,,,,,,,,,,,,
fresh_9c3aff9c67,yang dateng malah hitam,fashion,,,,,,,,,,,,,
fresh_23f10d818d,"dingin bnget sya suka desain:desain cukup rapi cocok untuk sehari""",fashion,,,,,,,,,,,,,
r038909_c2,produknya sejauh ini bisa dipakai,other,,,,,,,,,,,,,
r023001_c2,suara nya mayan bagus untuk harga 100rban,electronics,,,,,,,,,,,,,
r020131_c0,jam original n packaging rapi,fashion,,,,,,,,,,,,,
r014501_c0,mantap bro tidak salah dengan brodo selalu memuaskan,fashion,,,,,,,,,,,,,
r038896_c0,mungkin lebih baik lagi kalau disediakan ukuran,other,,,,,,,,,,,,,
