clause_id,clause_text,category_produk,asp_kualitas_produk,asp_kesesuaian_deskripsi,asp_harga_value,asp_ukuran_varian,asp_rasa_kualitas_makanan,asp_kemasan,asp_pengiriman,asp_pelayanan_penjual,asp_kelengkapan,asp_keaslian,asp_kemudahan_penggunaan,sentimen,catatan_pelabel
r000494_c0,emang rasanya kaya basi apa gimana,food_beverage,,,,,1,,,,,,,negatif,yakin
r018239_c1,pengiriman cepat,fashion,,,,,,,1,,,,,positif,yakin
r013614_c0,baranh sudah sampai hanya packing kurang aman,electronics,,,,,,1,1,,,,,negatif,RAGU: 'sudah sampai' netral soal pengiriman; keluhannya packing
r006956_c1,harga kompetitif,fashion,,,1,,,,,,,,,positif,yakin
fresh_70a7dbd381,fit di badan,fashion,,,,1,,,,,,,,positif,yakin
fresh_a8a1169e77,pesan uk l malah kecil banget,fashion,,,,1,,,,,,,,negatif,yakin
r034224_c0,barang tlh kmi terima dengan baik n cepat,other,,,,,,,1,,,,,positif,yakin
r029079_c2,trims,electronics,,,,,,,,,,,,netral,RAGU: ucapan terima kasih - bisa dibaca positif
fresh_ed7ffbd21a,bahan:halus lembut nyaman desain:bagus menarik tekstur:halus alhamdulillah baju saya sudah sampai dengan selamat dan amann,fashion,1,,,,,,1,,,,,positif,yakin
fresh_7d3d7edd01,kenyamanan:nyaman dipakai bahan:bahan bagus desain:desain cukup rapi saya tidak tau kenapa mungkin ada kesalahan,fashion,1,,,,,,,,,,,positif,"RAGU: ada 'mungkin ada kesalahan' - campuran, arahnya tidak jelas"
r003227_c0,fitur kurang memuaskan hanya sedikit seperti band yang sebelumnya belum layar sentuh full tidak sesuai dengan harga,electronics,1,,1,,,,,,,,,negatif,yakin
fresh_9c3aff9c67,yang dateng malah hitam,fashion,,,,1,,,,,,,,negatif,yakin
fresh_23f10d818d,"dingin bnget sya suka desain:desain cukup rapi cocok untuk sehari""",fashion,1,,,,,,,,,,,positif,yakin
r038909_c2,produknya sejauh ini bisa dipakai,other,1,,,,,,,,,,,netral,"RAGU: 'bisa dipakai' - datar, bisa dibaca positif lemah"
r023001_c2,suara nya mayan bagus untuk harga 100rban,electronics,1,,1,,,,,,,,,positif,yakin
r020131_c0,jam original n packaging rapi,fashion,,,,,,1,,,,1,,positif,yakin
r014501_c0,mantap bro tidak salah dengan brodo selalu memuaskan,fashion,,,,,,,,,,,,positif,"RAGU: pujian umum ke merek, tidak menyebut aspek"
r038896_c0,mungkin lebih baik lagi kalau disediakan ukuran,other,,,,1,,,,,,,,netral,RAGU: saran agar disediakan pilihan ukuran - netral atau keluhan ringan
r013406_c0,lumayan untuk harga yang semurah ini,electronics,,,1,,,,,,,,,positif,yakin
fresh_2e88b1a1ce,bahan:katun tekstur:lembut desain:cutting belah sesuai harga lah lumayan buat ganti ganti terima kasih,fashion,1,,1,,,,,,,,,positif,yakin
fresh_7897b51515,barang yang di kirimkan rusak kecewa bnget,fashion,1,,,,,,,,,,,negatif,RAGU: barang rusak saat dikirim - kualitas produk atau kerusakan pengiriman?
r000094_c2,terus menghubungi cs nya,electronics,,,,,,,,1,,,,netral,yakin
r002775_c1,tidak sesuai,fashion,,1,,,,,,,,,,negatif,yakin
r022776_c1,sesuai produk terima kasih bos respon cepat nya,electronics,,1,,,,,,1,,,,positif,yakin
r037016_c1,mudah dipakai,other,,,,,,,,,,,1,positif,yakin
r032571_c0,pengiriman cepat,electronics,,,,,,,1,,,,,positif,yakin
fresh_7c6d490e2b,kenyamanan:enak tekstur:meral desain:ok jujur warna ny tidak sesuai ekspetasi ak,fashion,1,1,,,,,,,,,,negatif,RAGU: campuran: nyaman tapi warna tidak sesuai ekspektasi
r017891_c3,saya yang tinggi 165 berat 60 saja kegedean banget untuk ukuran m nya,fashion,,,,1,,,,,,,,negatif,yakin
r030279_c0,bagus original,electronics,1,,,,,,,,,1,,positif,yakin
fresh_a0b0f5df08,dan saya chekout ke dua kali nya malah yang dateng warna hitam lagi,fashion,,,,1,,,,,,,,negatif,yakin
r033124_c0,barang ori,electronics,,,,,,,,,,1,,positif,yakin
r014206_c2,recommended seller banget,electronics,,,,,,,,1,,,,positif,yakin
fresh_73322326fd,kenyamanan:td tau tekstur:licin desain:b saja terawang banget minta hitam dkirim putih,fashion,1,,,1,,,,,,,,negatif,yakin
fresh_82d93c4d29,bahan:nyaman dan tidak panas,fashion,1,,,,,,,,,,,positif,yakin
r014728_c2,tidak bisa kaki sakit,fashion,1,,,1,,,,,,,,negatif,RAGU: 'kaki sakit' - ukuran/fit atau kualitas sepatu?
r015659_c1,nya sesuai gambar mungkin size&#39,fashion,,1,,1,,,,,,,,positif,RAGU: klausa terpotong: 'mungkin size...'
r013731_c1,cuman produk g sesuai pesanan warna,electronics,,,,1,,,,,,,,negatif,yakin
r038862_c1,karena ibu saya senang,other,,,,,,,,,,,,positif,yakin
fresh_045857795e,ya sudah lah,fashion,,,,,,,,,,,,netral,"RAGU: 'ya sudah lah' - pasrah, bisa dibaca negatif"
r001413_c0,sudah tanya sebelumnya sama penjualnya ada tidak balon warna gold dama silver,craft,,,,,,,,1,,,,netral,yakin
r000557_c2,edit: rasanya juga asin banget,food_beverage,,,,,1,,,,,,,negatif,yakin
r037828_c1,sangat puas dengan produk dan pelayanannya yang sangat cepat,other,1,,,,,,,1,,,,positif,yakin
r005807_c1,untuk mollar jangan pakai yang ini :),craft,1,,,,,,,,,,,negatif,RAGU: 'untuk molar jangan pakai ini' - ketidakcocokan fungsi; kesesuaian atau kualitas?
r003045_c2,manual pake bahasa china sulit dipahami,other,,,,,,,,,,,1,negatif,yakin
r004366_c0,minta size 43 yang dikirim size 44,fashion,,,,1,,,,,,,,negatif,yakin
r004852_c0,kemasannya kurang baikk kotakya tidak rapih seperti bekas,other,,,,,,1,,,,,,negatif,yakin
r000524_c0,enak enak enak enak sekali,food_beverage,,,,,1,,,,,,,positif,yakin
r002369_c0,pengiriman cepat + aman banyak bubble wrap,other,,,,,,1,1,,,,,positif,yakin
r020679_c2,sudah dicoba smua berfungsi baik,electronics,1,,,,,,,,,,,positif,yakin
r017397_c6,bahkan lebih banyak bonus nya dari pada apa yang saya beli,fashion,,,,,,,,,1,,,positif,yakin
r014883_c0,sedap gurih,fashion,,,,,1,,,,,,,positif,RAGU: 'sedap gurih' pada kategori fashion - mungkin sarkasme atau salah kategori
r022343_c0,terima kasih gan barang sudah saya terima dengan baik,electronics,,,,,,,1,,,,,positif,yakin
r014111_c3,bonus atau gimana ya sis,electronics,,,,,,,,,1,,,netral,yakin
r014122_c3,barangnya bagus bonusnya yahud,electronics,1,,,,,,,,1,,,positif,yakin
r028599_c0,respon sangat cepat,electronics,,,,,,,,1,,,,positif,yakin
r036108_c1,kirimnya cepat responnya cepat puaslah sama pelayanannya,other,,,,,,,1,1,,,,positif,yakin
r002355_c0,mantap ori,other,,,,,,,,,,1,,positif,yakin
r005813_c0,barang dan isinya sesuai pesanan,craft,,1,,,,,,,1,,,positif,yakin
r002507_c18,penjualnya ramah banget,electronics,,,,,,,,1,,,,positif,yakin
r029934_c0,mantap barang bagus,electronics,1,,,,,,,,,,,positif,yakin
r006002_c1,barang asli krisbow,craft,,,,,,,,,,1,,positif,yakin
r017397_c5,dan dapat bonus banyak sekali,fashion,,,,,,,,,1,,,positif,yakin
fresh_d3b7d9becd,kenyamanan:kurang beli baju baru dikasih baju bolong,fashion,1,,,,,,,,,,,negatif,yakin
r000567_c0,kue nya pas dateng dicoba asem,food_beverage,,,,,1,,,,,,,negatif,yakin
r022860_c0,oke gan manntap gan,electronics,,,,,,,,,,,,positif,yakin
fresh_2e96f2bd19,ini warna nya aga ke ungu' an gtu bukan pink muda,fashion,,1,,,,,,,,,,negatif,yakin
r002371_c2,barang bagus dan ori,other,1,,,,,,,,,1,,positif,yakin
r011633_c2,murah meriah,electronics,,,1,,,,,,,,,positif,yakin
r002552_c0,dikirimnya lama,electronics,,,,,,,1,,,,,negatif,yakin
r004144_c1,kualitas sesuai harga,fashion,1,,1,,,,,,,,,positif,RAGU: 'kualitas sesuai harga' - positif lemah atau netral
r014120_c0,responnya cepat banget pengiriman cepat banget barang oke bgt,electronics,1,,,,,,1,1,,,,positif,yakin
r020871_c0,packing rapi,electronics,,,,,,1,,,,,,positif,yakin
r003108_c2,dari saya sendiri tidak kirim kesana karena ribet dalam ongkir dan pengiriman nya,electronics,,,,,,,1,,,,,negatif,RAGU: ongkir & pengiriman ribet - konteks terpotong
fresh_1aefe8bc45,jelas2 hitam nympenya merah,fashion,,,,1,,,,,,,,negatif,yakin
r004919_c0,barang sudah sampai,electronics,,,,,,,1,,,,,netral,yakin
r013731_c2,di box hitam isinya doreng,electronics,,1,,,,,,,,,,negatif,RAGU: isi box berbeda dari label - kesesuaian atau varian?
r000523_c2,rasanya mantap,food_beverage,,,,,1,,,,,,,positif,yakin
r022394_c1,sudah dipake enak barang nya alhamdulillah tidak ada kendala,electronics,1,,,,,,,,,,,positif,yakin
fresh_0a41eb8d67,kenyamanan:nyaman bahan:bagus kok desain:bagus cuman bolong dikitt,fashion,1,,,,,,,,,,,negatif,RAGU: campuran: nyaman/bagus tapi bolong
r001304_c0,cepat resp seller pengiriman cepat packaging rapih aman barang lengkap sesuaii thankss a lott,other,,1,,,,1,1,1,1,,,positif,yakin
r009152_c0,pengiriman cepat barang sesuai dengan harga,fashion,,,1,,,,1,,,,,positif,yakin
fresh_79b1dbc793,adem ngak bikin gerah,fashion,1,,,,,,,,,,,positif,yakin
