clause_id,clause_text,category_produk,asp_kualitas_produk,asp_kesesuaian_deskripsi,asp_harga_value,asp_ukuran_varian,asp_rasa_kualitas_makanan,asp_kemasan,asp_pengiriman,asp_pelayanan_penjual,asp_kelengkapan,asp_keaslian,asp_kemudahan_penggunaan,sentimen,catatan_pelabel
fresh_8c7e75e3e7,kenyamanan:saya beli hitam sama mahogani bahan beda beda ademan yang mahogani,fashion,,,,,,,,,,,,,
r028276_c0,mantap barang dkrim sesuai deskripsi,electronics,,,,,,,,,,,,,
fresh_fff78a95de,bahan:kualitasnya sesuai standar tekstur:sangat lembut dan nyaman desain:imut dan menarik perhatian baru kali ini nemu kaos yang lucu banget terus bagus banget lagi,fashion,,,,,,,,,,,,,
fresh_7897b51515,barang yang di kirimkan rusak kecewa bnget,fashion,,,,,,,,,,,,,
fresh_0a41eb8d67,kenyamanan:nyaman bahan:bagus kok desain:bagus cuman bolong dikitt,fashion,,,,,,,,,,,,,
r003227_c0,fitur kurang memuaskan hanya sedikit seperti band yang sebelumnya belum layar sentuh full tidak sesuai dengan harga,electronics,,,,,,,,,,,,,
fresh_b3296d581b,tokony g amanah,fashion,,,,,,,,,,,,,
fresh_ed7ffbd21a,bahan:halus lembut nyaman desain:bagus menarik tekstur:halus alhamdulillah baju saya sudah sampai dengan selamat dan amann,fashion,,,,,,,,,,,,,
r003561_c13,dengan harg lumayan mahal,other,,,,,,,,,,,,,
r022343_c0,terima kasih gan barang sudah saya terima dengan baik,electronics,,,,,,,,,,,,,
fresh_4d8dc33244,saran min buat bahan konsisten dan jahitan dibuat lebih rapi,fashion,,,,,,,,,,,,,
r014883_c0,sedap gurih,fashion,,,,,,,,,,,,,
r036110_c0,terima kasih barang sudah diterima dengan baik,other,,,,,,,,,,,,,
fresh_78307a1b8b,bahan:bahan baju warna coklatnya halus halo kak kenapa ya chat saya tidak di balas kecewa sedikit pesannya warna putih 1 dan coklat,fashion,,,,,,,,,,,,,
r009152_c0,pengiriman cepat barang sesuai dengan harga,fashion,,,,,,,,,,,,,
r017479_c0,ah kereen banged sepatunya,fashion,,,,,,,,,,,,,
r016395_c1,pengiriman tettunda sama saja pake jne mahal di ongkir pake gosend kalau tertunda sperti ini,fashion,,,,,,,,,,,,,
r000793_c1,packing safety bingitz,other,,,,,,,,,,,,,
r001413_c0,sudah tanya sebelumnya sama penjualnya ada tidak balon warna gold dama silver,craft,,,,,,,,,,,,,
fresh_3ee23c9cc6,untuk barang sih sesuai ya size l,fashion,,,,,,,,,,,,,
r003344_c1,ada hooknya yang bisa ditarik jadi kalau celana kegedean,other,,,,,,,,,,,,,
r035964_c1,bagus,other,,,,,,,,,,,,,
fresh_5d3860188c,buat di anak usia 7 tahun,fashion,,,,,,,,,,,,,
r013614_c0,baranh sudah sampai hanya packing kurang aman,electronics,,,,,,,,,,,,,
r002775_c1,tidak sesuai,fashion,,,,,,,,,,,,,
fresh_2e88b1a1ce,bahan:katun tekstur:lembut desain:cutting belah sesuai harga lah lumayan buat ganti ganti terima kasih,fashion,,,,,,,,,,,,,
r014799_c2,produk dikirimkan dengan tutorial penggunaan yang sangat efektif membersihkan kotoran,fashion,,,,,,,,,,,,,
r008411_c2,mdh&#34,electronics,,,,,,,,,,,,,
fresh_0e7564e529,sudah brpa kali di krim tidak sesuai ukurn yang di pesan,fashion,,,,,,,,,,,,,
fresh_7d3d7edd01,kenyamanan:nyaman dipakai bahan:bahan bagus desain:desain cukup rapi saya tidak tau kenapa mungkin ada kesalahan,fashion,,,,,,,,,,,,,
r014501_c0,mantap bro tidak salah dengan brodo selalu memuaskan,fashion,,,,,,,,,,,,,
r003108_c2,dari saya sendiri tidak kirim kesana karena ribet dalam ongkir dan pengiriman nya,electronics,,,,,,,,,,,,,
r003941_c2,tp barang yang datang penyok,other,,,,,,,,,,,,,
fresh_cd6b6e17f6,bahan:kaos adem desain:lucu tekstur:lembut adem tidak panas kaosnya lembut di ukiran l nya,fashion,,,,,,,,,,,,,
fresh_e3aecd4bbf,kaos yang warna terang sedikit nerawang but it’s oke overall bagus,fashion,,,,,,,,,,,,,
r019936_c2,dan juga ori,fashion,,,,,,,,,,,,,
r002357_c0,cepat response pengiriman cepat packing aman dan rapi buku ori harga bersaing,other,,,,,,,,,,,,,
r002837_c2,rekomendit banget deh pokok nya buat beli disini dan juga lengkap lagi,fashion,,,,,,,,,,,,,
r000577_c0,sangat tidak cocok dengan yang tidak suka manis,food_beverage,,,,,,,,,,,,,
r022764_c1,recomm sudah top marktop,electronics,,,,,,,,,,,,,
r011904_c0,kwalitas sesuai dengan harga nya,electronics,,,,,,,,,,,,,
r006002_c1,barang asli krisbow,craft,,,,,,,,,,,,,
r039049_c0,terimakasih barang sudah sampai,other,,,,,,,,,,,,,
r037828_c1,sangat puas dengan produk dan pelayanannya yang sangat cepat,other,,,,,,,,,,,,,
r022671_c3,sudah dicoba dan bagus,electronics,,,,,,,,,,,,,
r014870_c0,bagusbtas,fashion,,,,,,,,,,,,,
r035443_c3,sesaknya luar biasa,other,,,,,,,,,,,,,
r022948_c0,barang yang di pesan tidak sesuai pesanan,electronics,,,,,,,,,,,,,
fresh_36c55d7ebd,-bukan warna yang saya mau ini tokohnya tidak merhatiin kah pembelinya warna apa,fashion,,,,,,,,,,,,,
fresh_edf330cfe5,tidak papa ini sebagai peringatan saja lain kali jngn kek gini lagi ke kostumer lainx yaa👍🏻,fashion,,,,,,,,,,,,,
r011633_c2,murah meriah,electronics,,,,,,,,,,,,,
r035444_c0,standar sesuai harga,other,,,,,,,,,,,,,
r032571_c0,pengiriman cepat,electronics,,,,,,,,,,,,,
r004144_c1,kualitas sesuai harga,fashion,,,,,,,,,,,,,
r038909_c2,produknya sejauh ini bisa dipakai,other,,,,,,,,,,,,,
r018298_c0,ori fossil,fashion,,,,,,,,,,,,,
r013731_c1,cuman produk g sesuai pesanan warna,electronics,,,,,,,,,,,,,
r002193_c2,eh ada bonus nya juga ya,other,,,,,,,,,,,,,
r022694_c2,kondisi mulus sesuai dengan deskripsi,electronics,,,,,,,,,,,,,
r028569_c0,barang tidak sesuai dengan yang original bawaannya,electronics,,,,,,,,,,,,,
fresh_da156ecbea,eman juga beli dngn harga 40rb an,fashion,,,,,,,,,,,,,
